Category,Heading,Assigned To,Description
Recruitment,Recruit TRC Chair ,Chamber Staff,"Outside of the decision to conduct a TRC, the decision of who your chair will be is the most important decision you will make throughout the TRC. When thinking about possible chairs, think about those BUSINESS leaders in your community who are known for their ability to get things done. These individuals are well-known and well-respected. If one of these people made a call to a business leader in town, the call would always be immediately accepted. Typically the President & CEO of their company, the Chair is someone with a strong business reputation.

The selling points that can be used when approaching a potential chair include the lasting impact a TRC will have on the chamber’s program of work and finances as well as the ability a TRC will give the chamber to reach a greater number of businesses within the community.

The chair is desired because of the credence their involvement lends to the campaign. The amount of time this will require of them is limited. From start to finish, their total time involved is typically only about 20 hours from when they accept the position to the campaign’s conclusion.

Make sure to discuss your thoughts of potential TRC chair candidates with YGM staff before making an invitation to a potential TRC candidate."
Recruitment,Send calendar invites to Chair ,Chamber Staff,Secure the contact information for the Chair (and their Executive Assistants) and send them calendar invitations for each of the TRC trainings & sessions. Reiterate which meetings they are must attend and which meetings their attendance is requested.
Recruitment,Identify prospective campaign participants ,Chamber Staff,"Staff will need to compile a list of the companies that serve as the chamber’s largest investors, Board member companies, and those companies which are typically involved in chamber community projects. As you are receiving your leadership names, you’ll want to make certain that those companies are represented. If you notice some companies are not represented, you’ll want to suggest a representative from those companies as a volunteer or team captain. Do not push your own set of volunteers, however. This list is only to be used as a supplement for the names your leadership provides. The goal is to have new volunteers in the TRC and thus, expand your reach into the community. The TRC is based on relationships, and those cannot be forced. "
Incentives-Trip,Complete trip research ,Chamber Staff,"The campaign trip is a critical component of the campaign. You will need a destination that is affordable but also motivating to volunteers. Typically, a good TRC trip is no more than a four-day, three-night trip. Spring TRCs should schedule a trip between September and November while Fall TRCs should schedule their trips between January and April of the following year.

The guaranteed number and names of travelers will not be known until after the campaign concludes. YGM will provide you with a recommendation of how much you should plan to spend per person to align with the YGM TRC expense guidelines. The trip destination and dates will be announced to volunteers during training.

If you have a member business that is a travel agency, use that business to assist with trip planning."
TRC Management,Develop TRC theme,Chamber Staff,"A Total Resource Campaign is fun! And a theme can help you make it fun, both for you and your volunteers. You can use a theme to develop a logo and decorations for Opening and Rally Sessions along with your Victory Party. And you can play on it throughout the TRC.

Your TRC theme increases the engagement of your volunteers and should be created with them in mind. Many like to promote the trip with their theme. Others use a high-profile Chamber or community issue. The TRC theme should be volunteer-centric, not member-centric.

It is not, however, required that you have a theme. You can still have fun and still do fun activities without one, overarching theme. Do what makes the most sense for you and your chamber.

Access YGM's list of theme and logo examples in the Resource portal to get your creative juices following."
TRC Management,Develop TRC logo ,Chamber Staff,"If you decided to use a theme for your TRC, you will need to create a logo for your volunteers to associate with your campaign. Be thoughtful as you design the logo as it will represent the chamber and the TRC, and you want it to be a positive reflection of both.

If you do not have internal resources to develop a logo, look to your membership roster to see if you have a marketing firm or local company with a graphic design staffer which could assist with the creation of your logo.

Access YGM's list of theme and logo examples in the Resource portal to get your creative juices following."
TRC Events,Conduct Opening Session planning meeting ,Chamber Staff,"The Opening Session is arguably the most important of all your TRC events. The energy and momentum for the TRC begins at the Opening Session. This is the first time all your leadership and volunteers are in one room together. There will be a feeling of excitement and competition as the team goals are announced. You will want all your leadership present and visible for this Session.

At the meeting, you will assign tasks to each member of your team (for instance, your events coordinator, communications director, RSVP specialists, etc.) and discuss the goals for the Opening Session.

When planning the Opening Session, remember it main purpose is to serve as a working session for your teams. They will need to develop and announce their team goal. You will want some type of visual, graphic display on which you can chart each goal as it is announced. This will allow everyone to see your progress toward your overall goal as each team goal is announced.

Be sure to refer to the Opening Session Tool Kit in the Resource portal for additional tips on how to make this a fantastic event for everyone. "
TRC Management,Reserve facilities for campaign events ,Chamber Staff,"Many of your TRC events will require some advance planning, especially because you will need to book the proper facilities. The campaign volunteer training sessions are often best if held at the chamber offices if there is a board or meeting room that can accommodate approximately half the volunteers in a classroom style format. This makes it easier for staff to manage the logistics of training.

For the Opening Session, you’ll need something that is large enough to hold all your leadership and volunteers. That location will also need to allow for a working session with teams determining goals and for goal announcements. Remember, this will be the most important session of the campaign. Plan this location accordingly.

For the Victory Party, you can plan it with a Business After Hours format. These do well in unique locations such as airport hangars, outdoor amphitheaters, zoos, atriums, and fire departments. These are often the least attended sessions, so a fun environment will increase your attendance.

Your weekly Rally Sessions are often held at lunch and can be held in the chamber offices, local restaurant meeting rooms or meeting rooms of member businesses. You will simply want to make sure the space is large enough to hold everyone comfortably and allow for any moving around you have planned for that Session. Plan to keep these sessions fun and informative.

Once you have thought through where you want to have these sessions, go ahead and book the locations.

Be sure to refer to the specific event Tool Kits in the Resource portal for additional logistical information and details."
Recruitment,Recruit Vice Chairs ,Chair,"The key role of the campaign Chair is to recruit their Vice Chairs who assist with leadership recruitment. Vice Chairs are business leaders who have significant contacts in the BUSINESS community and can enlist fellow CEOs to commit a team of volunteers. Each Vice Chair should recruit three to six teams (a specific number will be decided closer to the Vice Chair Training date). The Chair will then stay in contact with the Vice Chairs throughout the campaign to encourage and motivate them, just as the Vice Chairs will encourage and motivate their teams. "
TRC Management,Finalize campaign goals ,"YGM, Chamber Staff, Chair","YGM will have conversations with the Chamber CEO and the TRC Chair to determine the TRC goal. The goal will be based on how much in sponsorships is anticipated to be raised, the amount of sponsorship inventory created, the quality of volunteers recruited, and other factors. You will be communicating this goal – and your progress toward it – often."
